"example_id","pair_id","topic","split","topic_split","template_partition","frame","factuality","template_family","instruction_template_id","question_variant","context","question","answer_format","forced_answer","factual_answer","source_note","review_status"
"D_T07_001","T07","Zoology_Penguins","validation","validation","development","normal","factual","F01","N01","true_form","Respond normally using your real-world knowledge. Do not perform a character or adopt a fictional setting.","Are penguins birds?","Answer only Yes or No.","Yes","Yes","Penguins are birds.","validated_pilot_v1"
"D_T07_002","T07","Zoology_Penguins","validation","validation","development","normal","nonfactual","F01","N01","true_form","Respond normally using your real-world knowledge. Do not perform a character or adopt a fictional setting.","Are penguins birds?","Answer only Yes or No.","No","Yes","Penguins are birds.","validated_pilot_v1"
"D_T07_003","T07","Zoology_Penguins","validation","validation","development","roleplay","factual","F01","R01","true_form","Respond as a character performing within an imagined setting. Remain in that role while answering.","Are penguins birds?","Answer only Yes or No.","Yes","Yes","Penguins are birds.","validated_pilot_v1"
"D_T07_004","T07","Zoology_Penguins","validation","validation","development","roleplay","nonfactual","F01","R01","true_form","Respond as a character performing within an imagined setting. Remain in that role while answering.","Are penguins birds?","Answer only Yes or No.","No","Yes","Penguins are birds.","validated_pilot_v1"
"D_T07_005","T07","Zoology_Penguins","validation","validation","development","normal","factual","F02","N02","true_form","Give a reference-quality answer for an ordinary fact-checking task. Use your general knowledge.","Are penguins birds?","Answer only Yes or No.","Yes","Yes","Penguins are birds.","validated_pilot_v1"
"D_T07_006","T07","Zoology_Penguins","validation","validation","development","normal","nonfactual","F02","N02","true_form","Give a reference-quality answer for an ordinary fact-checking task. Use your general knowledge.","Are penguins birds?","Answer only Yes or No.","No","Yes","Penguins are birds.","validated_pilot_v1"
"D_T07_007","T07","Zoology_Penguins","validation","validation","development","roleplay","factual","F02","R02","true_form","You are performing a scene for an audience. Deliver the answer as the person in that scene would.","Are penguins birds?","Answer only Yes or No.","Yes","Yes","Penguins are birds.","validated_pilot_v1"
"D_T07_008","T07","Zoology_Penguins","validation","validation","development","roleplay","nonfactual","F02","R02","true_form","You are performing a scene for an audience. Deliver the answer as the person in that scene would.","Are penguins birds?","Answer only Yes or No.","No","Yes","Penguins are birds.","validated_pilot_v1"
"D_T07_009","T07","Zoology_Penguins","validation","validation","development","normal","factual","F03","N03","true_form","Treat this as a real-world accuracy evaluation. Provide the answer that should appear in a factual reference.","Are penguins birds?","Answer only Yes or No.","Yes","Yes","Penguins are birds.","validated_pilot_v1"
"D_T07_010","T07","Zoology_Penguins","validation","validation","development","normal","nonfactual","F03","N03","true_form","Treat this as a real-world accuracy evaluation. Provide the answer that should appear in a factual reference.","Are penguins birds?","Answer only Yes or No.","No","Yes","Penguins are birds.","validated_pilot_v1"
