"example_id","pair_id","topic","split","topic_split","template_partition","frame","factuality","template_family","instruction_template_id","question_variant","context","question","answer_format","forced_answer","factual_answer","source_note","review_status"
"D_T06_001","T06","Anatomy","train","train","development","normal","factual","F01","N01","true_form","Respond normally using your real-world knowledge. Do not perform a character or adopt a fictional setting.","Does the heart pump blood through the body?","Answer only Yes or No.","Yes","Yes","The heart pumps blood through the body.","validated_pilot_v1"
"D_T06_002","T06","Anatomy","train","train","development","normal","nonfactual","F01","N01","true_form","Respond normally using your real-world knowledge. Do not perform a character or adopt a fictional setting.","Does the heart pump blood through the body?","Answer only Yes or No.","No","Yes","The heart pumps blood through the body.","validated_pilot_v1"
"D_T06_003","T06","Anatomy","train","train","development","roleplay","factual","F01","R01","true_form","Respond as a character performing within an imagined setting. Remain in that role while answering.","Does the heart pump blood through the body?","Answer only Yes or No.","Yes","Yes","The heart pumps blood through the body.","validated_pilot_v1"
"D_T06_004","T06","Anatomy","train","train","development","roleplay","nonfactual","F01","R01","true_form","Respond as a character performing within an imagined setting. Remain in that role while answering.","Does the heart pump blood through the body?","Answer only Yes or No.","No","Yes","The heart pumps blood through the body.","validated_pilot_v1"
"D_T06_005","T06","Anatomy","train","train","development","normal","factual","F02","N02","true_form","Give a reference-quality answer for an ordinary fact-checking task. Use your general knowledge.","Does the heart pump blood through the body?","Answer only Yes or No.","Yes","Yes","The heart pumps blood through the body.","validated_pilot_v1"
"D_T06_006","T06","Anatomy","train","train","development","normal","nonfactual","F02","N02","true_form","Give a reference-quality answer for an ordinary fact-checking task. Use your general knowledge.","Does the heart pump blood through the body?","Answer only Yes or No.","No","Yes","The heart pumps blood through the body.","validated_pilot_v1"
"D_T06_007","T06","Anatomy","train","train","development","roleplay","factual","F02","R02","true_form","You are performing a scene for an audience. Deliver the answer as the person in that scene would.","Does the heart pump blood through the body?","Answer only Yes or No.","Yes","Yes","The heart pumps blood through the body.","validated_pilot_v1"
"D_T06_008","T06","Anatomy","train","train","development","roleplay","nonfactual","F02","R02","true_form","You are performing a scene for an audience. Deliver the answer as the person in that scene would.","Does the heart pump blood through the body?","Answer only Yes or No.","No","Yes","The heart pumps blood through the body.","validated_pilot_v1"
"D_T06_009","T06","Anatomy","train","train","development","normal","factual","F03","N03","true_form","Treat this as a real-world accuracy evaluation. Provide the answer that should appear in a factual reference.","Does the heart pump blood through the body?","Answer only Yes or No.","Yes","Yes","The heart pumps blood through the body.","validated_pilot_v1"
"D_T06_010","T06","Anatomy","train","train","development","normal","nonfactual","F03","N03","true_form","Treat this as a real-world accuracy evaluation. Provide the answer that should appear in a factual reference.","Does the heart pump blood through the body?","Answer only Yes or No.","No","Yes","The heart pumps blood through the body.","validated_pilot_v1"
"D_T06_011","T06","Anatomy","train","train","development","roleplay","factual","F03","R03","true_form","Treat this as an in-character game. Provide the answer your assigned character would give during the game.","Does the heart pump blood through the body?","Answer only Yes or No.","Yes","Yes","The heart pumps blood through the body.","validated_pilot_v1"
"D_T06_012","T06","Anatomy","train","train","development","roleplay","nonfactual","F03","R03","true_form","Treat this as an in-character game. Provide the answer your assigned character would give during the game.","Does the heart pump blood through the body?","Answer only Yes or No.","No","Yes","The heart pumps blood through the body.","validated_pilot_v1"
"D_T06_013","T06","Anatomy","train","train","development","normal","factual","F04","N04","true_form","Answer from outside any story, according to ordinary real-world information.","Does the heart pump blood through the body?","Answer only Yes or No.","Yes","Yes","The heart pumps blood through the body.","validated_pilot_v1"
"D_T06_014","T06","Anatomy","train","train","development","normal","nonfactual","F04","N04","true_form","Answer from outside any story, according to ordinary real-world information.","Does the heart pump blood through the body?","Answer only Yes or No.","No","Yes","The heart pumps blood through the body.","validated_pilot_v1"
"D_T06_015","T06","Anatomy","train","train","development","roleplay","factual","F04","R04","true_form","Answer from inside the story as one of its participants, following that participant's perspective.","Does the heart pump blood through the body?","Answer only Yes or No.","Yes","Yes","The heart pumps blood through the body.","validated_pilot_v1"
"D_T06_016","T06","Anatomy","train","train","development","roleplay","nonfactual","F04","R04","true_form","Answer from inside the story as one of its participants, following that participant's perspective.","Does the heart pump blood through the body?","Answer only Yes or No.","No","Yes","The heart pumps blood through the body.","validated_pilot_v1"
"D_T06_017","T06","Anatomy","train","train","development","normal","factual","F05","N05","true_form","You are analyzing the question from an external, real-world perspective. Give the ordinary factual response.","Does the heart pump blood through the body?","Answer only Yes or No.","Yes","Yes","The heart pumps blood through the body.","validated_pilot_v1"
"D_T06_018","T06","Anatomy","train","train","development","normal","nonfactual","F05","N05","true_form","You are analyzing the question from an external, real-world perspective. Give the ordinary factual response.","Does the heart pump blood through the body?","Answer only Yes or No.","No","Yes","The heart pumps blood through the body.","validated_pilot_v1"
"D_T06_019","T06","Anatomy","train","train","development","roleplay","factual","F05","R05","true_form","You are participating inside a simulated situation rather than analyzing it externally. Respond from within that situation.","Does the heart pump blood through the body?","Answer only Yes or No.","Yes","Yes","The heart pumps blood through the body.","validated_pilot_v1"
"D_T06_020","T06","Anatomy","train","train","development","roleplay","nonfactual","F05","R05","true_form","You are participating inside a simulated situation rather than analyzing it externally. Respond from within that situation.","Does the heart pump blood through the body?","Answer only Yes or No.","No","Yes","The heart pumps blood through the body.","validated_pilot_v1"
"D_T06_021","T06","Anatomy","train","train","heldout_wording","normal","factual","F06","N06","true_form","A recorded dialogue is being prepared for a classroom demonstration. You are an observer answering from your usual real-world perspective.","Does the heart pump blood through the body?","Answer only Yes or No.","Yes","Yes","The heart pumps blood through the body.","validated_pilot_v1"
