"example_id","pair_id","topic","split","frame","factuality","template_family","instruction_template_id","question_variant","context","question","answer_format","forced_answer","factual_answer","source_note","review_status"
"D_T04_001","T04","Zoology_Whales","unassigned","normal","factual","F01","N01","true_form","Respond normally using your real-world knowledge. Do not perform a character or adopt a fictional setting.","Are whales mammals?","Answer only Yes or No.","Yes","Yes","Whales are mammals.","draft"
"D_T04_002","T04","Zoology_Whales","unassigned","normal","nonfactual","F01","N01","true_form","Respond normally using your real-world knowledge. Do not perform a character or adopt a fictional setting.","Are whales mammals?","Answer only Yes or No.","No","Yes","Whales are mammals.","draft"
"D_T04_003","T04","Zoology_Whales","unassigned","roleplay","factual","F01","R01","true_form","Respond as a character performing within an imagined setting. Remain in that role while answering.","Are whales mammals?","Answer only Yes or No.","Yes","Yes","Whales are mammals.","draft"
"D_T04_004","T04","Zoology_Whales","unassigned","roleplay","nonfactual","F01","R01","true_form","Respond as a character performing within an imagined setting. Remain in that role while answering.","Are whales mammals?","Answer only Yes or No.","No","Yes","Whales are mammals.","draft"
"D_T04_005","T04","Zoology_Whales","unassigned","normal","factual","F02","N02","true_form","Give a reference-quality answer for an ordinary fact-checking task. Use your general knowledge.","Are whales mammals?","Answer only Yes or No.","Yes","Yes","Whales are mammals.","draft"
"D_T04_006","T04","Zoology_Whales","unassigned","normal","nonfactual","F02","N02","true_form","Give a reference-quality answer for an ordinary fact-checking task. Use your general knowledge.","Are whales mammals?","Answer only Yes or No.","No","Yes","Whales are mammals.","draft"
"D_T04_007","T04","Zoology_Whales","unassigned","roleplay","factual","F02","R02","true_form","You are performing a scene for an audience. Deliver the answer as the person in that scene would.","Are whales mammals?","Answer only Yes or No.","Yes","Yes","Whales are mammals.","draft"
"D_T04_008","T04","Zoology_Whales","unassigned","roleplay","nonfactual","F02","R02","true_form","You are performing a scene for an audience. Deliver the answer as the person in that scene would.","Are whales mammals?","Answer only Yes or No.","No","Yes","Whales are mammals.","draft"
"D_T04_009","T04","Zoology_Whales","unassigned","normal","factual","F03","N03","true_form","Treat this as a real-world accuracy evaluation. Provide the answer that should appear in a factual reference.","Are whales mammals?","Answer only Yes or No.","Yes","Yes","Whales are mammals.","draft"
"D_T04_010","T04","Zoology_Whales","unassigned","normal","nonfactual","F03","N03","true_form","Treat this as a real-world accuracy evaluation. Provide the answer that should appear in a factual reference.","Are whales mammals?","Answer only Yes or No.","No","Yes","Whales are mammals.","draft"
"D_T04_011","T04","Zoology_Whales","unassigned","roleplay","factual","F03","R03","true_form","Treat this as an in-character game. Provide the answer your assigned character would give during the game.","Are whales mammals?","Answer only Yes or No.","Yes","Yes","Whales are mammals.","draft"
"D_T04_012","T04","Zoology_Whales","unassigned","roleplay","nonfactual","F03","R03","true_form","Treat this as an in-character game. Provide the answer your assigned character would give during the game.","Are whales mammals?","Answer only Yes or No.","No","Yes","Whales are mammals.","draft"
"D_T04_013","T04","Zoology_Whales","unassigned","normal","factual","F04","N04","true_form","Answer from outside any story, according to ordinary real-world information.","Are whales mammals?","Answer only Yes or No.","Yes","Yes","Whales are mammals.","draft"
"D_T04_014","T04","Zoology_Whales","unassigned","normal","nonfactual","F04","N04","true_form","Answer from outside any story, according to ordinary real-world information.","Are whales mammals?","Answer only Yes or No.","No","Yes","Whales are mammals.","draft"
"D_T04_015","T04","Zoology_Whales","unassigned","roleplay","factual","F04","R04","true_form","Answer from inside the story as one of its participants, following that participant's perspective.","Are whales mammals?","Answer only Yes or No.","Yes","Yes","Whales are mammals.","draft"
"D_T04_016","T04","Zoology_Whales","unassigned","roleplay","nonfactual","F04","R04","true_form","Answer from inside the story as one of its participants, following that participant's perspective.","Are whales mammals?","Answer only Yes or No.","No","Yes","Whales are mammals.","draft"
"D_T04_017","T04","Zoology_Whales","unassigned","normal","factual","F05","N05","true_form","You are analyzing the question from an external, real-world perspective. Give the ordinary factual response.","Are whales mammals?","Answer only Yes or No.","Yes","Yes","Whales are mammals.","draft"
"D_T04_018","T04","Zoology_Whales","unassigned","normal","nonfactual","F05","N05","true_form","You are analyzing the question from an external, real-world perspective. Give the ordinary factual response.","Are whales mammals?","Answer only Yes or No.","No","Yes","Whales are mammals.","draft"
"D_T04_019","T04","Zoology_Whales","unassigned","roleplay","factual","F05","R05","true_form","You are participating inside a simulated situation rather than analyzing it externally. Respond from within that situation.","Are whales mammals?","Answer only Yes or No.","Yes","Yes","Whales are mammals.","draft"
"D_T04_020","T04","Zoology_Whales","unassigned","roleplay","nonfactual","F05","R05","true_form","You are participating inside a simulated situation rather than analyzing it externally. Respond from within that situation.","Are whales mammals?","Answer only Yes or No.","No","Yes","Whales are mammals.","draft"
"D_T04_021","T04","Zoology_Whales","unassigned","normal","factual","F06","N06","true_form","A brief interview scene is about to begin. You are an observer answering from your usual real-world perspective.","Are whales mammals?","Answer only Yes or No.","Yes","Yes","Whales are mammals.","draft"
"D_T04_022","T04","Zoology_Whales","unassigned","normal","nonfactual","F06","N06","true_form","A brief interview scene is about to begin. You are an observer answering from your usual real-world perspective.","Are whales mammals?","Answer only Yes or No.","No","Yes","Whales are mammals.","draft"
"D_T04_023","T04","Zoology_Whales","unassigned","roleplay","factual","F06","R06","true_form","A brief interview scene is about to begin. You are one of the people taking part and must answer from that person's perspective.","Are whales mammals?","Answer only Yes or No.","Yes","Yes","Whales are mammals.","draft"
"D_T04_024","T04","Zoology_Whales","unassigned","roleplay","nonfactual","F06","R06","true_form","A brief interview scene is about to begin. You are one of the people taking part and must answer from that person's perspective.","Are whales mammals?","Answer only Yes or No.","No","Yes","Whales are mammals.","draft"
"D_T04_025","T04","Zoology_Whales","unassigned","normal","nonfactual","F01","N01","false_form","Respond normally using your real-world knowledge. Do not perform a character or adopt a fictional setting.","Are whales fish?","Answer only Yes or No.","Yes","No","Whales are not fish.","draft"
"D_T04_026","T04","Zoology_Whales","unassigned","normal","factual","F01","N01","false_form","Respond normally using your real-world knowledge. Do not perform a character or adopt a fictional setting.","Are whales fish?","Answer only Yes or No.","No","No","Whales are not fish.","draft"
"D_T04_027","T04","Zoology_Whales","unassigned","roleplay","nonfactual","F01","R01","false_form","Respond as a character performing within an imagined setting. Remain in that role while answering.","Are whales fish?","Answer only Yes or No.","Yes","No","Whales are not fish.","draft"
"D_T04_028","T04","Zoology_Whales","unassigned","roleplay","factual","F01","R01","false_form","Respond as a character performing within an imagined setting. Remain in that role while answering.","Are whales fish?","Answer only Yes or No.","No","No","Whales are not fish.","draft"
"D_T04_029","T04","Zoology_Whales","unassigned","normal","nonfactual","F02","N02","false_form","Give a reference-quality answer for an ordinary fact-checking task. Use your general knowledge.","Are whales fish?","Answer only Yes or No.","Yes","No","Whales are not fish.","draft"
"D_T04_030","T04","Zoology_Whales","unassigned","normal","factual","F02","N02","false_form","Give a reference-quality answer for an ordinary fact-checking task. Use your general knowledge.","Are whales fish?","Answer only Yes or No.","No","No","Whales are not fish.","draft"
"D_T04_031","T04","Zoology_Whales","unassigned","roleplay","nonfactual","F02","R02","false_form","You are performing a scene for an audience. Deliver the answer as the person in that scene would.","Are whales fish?","Answer only Yes or No.","Yes","No","Whales are not fish.","draft"
