"example_id","pair_id","topic","split","topic_split","template_partition","frame","factuality","template_family","instruction_template_id","question_variant","context","question","answer_format","forced_answer","factual_answer","source_note","review_status"
"D_T10_001","T10","Geography_Oceans","test","test","development","normal","factual","F01","N01","true_form","Respond normally using your real-world knowledge. Do not perform a character or adopt a fictional setting.","Is the Pacific Earth's largest ocean by surface area?","Answer only Yes or No.","Yes","Yes","The Pacific is Earth's largest ocean by surface area.","draft"
"D_T10_002","T10","Geography_Oceans","test","test","development","normal","nonfactual","F01","N01","true_form","Respond normally using your real-world knowledge. Do not perform a character or adopt a fictional setting.","Is the Pacific Earth's largest ocean by surface area?","Answer only Yes or No.","No","Yes","The Pacific is Earth's largest ocean by surface area.","draft"
"D_T10_003","T10","Geography_Oceans","test","test","development","roleplay","factual","F01","R01","true_form","Respond as a character performing within an imagined setting. Remain in that role while answering.","Is the Pacific Earth's largest ocean by surface area?","Answer only Yes or No.","Yes","Yes","The Pacific is Earth's largest ocean by surface area.","draft"
"D_T10_004","T10","Geography_Oceans","test","test","development","roleplay","nonfactual","F01","R01","true_form","Respond as a character performing within an imagined setting. Remain in that role while answering.","Is the Pacific Earth's largest ocean by surface area?","Answer only Yes or No.","No","Yes","The Pacific is Earth's largest ocean by surface area.","draft"
"D_T10_005","T10","Geography_Oceans","test","test","development","normal","factual","F02","N02","true_form","Give a reference-quality answer for an ordinary fact-checking task. Use your general knowledge.","Is the Pacific Earth's largest ocean by surface area?","Answer only Yes or No.","Yes","Yes","The Pacific is Earth's largest ocean by surface area.","draft"
"D_T10_006","T10","Geography_Oceans","test","test","development","normal","nonfactual","F02","N02","true_form","Give a reference-quality answer for an ordinary fact-checking task. Use your general knowledge.","Is the Pacific Earth's largest ocean by surface area?","Answer only Yes or No.","No","Yes","The Pacific is Earth's largest ocean by surface area.","draft"
"D_T10_007","T10","Geography_Oceans","test","test","development","roleplay","factual","F02","R02","true_form","You are performing a scene for an audience. Deliver the answer as the person in that scene would.","Is the Pacific Earth's largest ocean by surface area?","Answer only Yes or No.","Yes","Yes","The Pacific is Earth's largest ocean by surface area.","draft"
"D_T10_008","T10","Geography_Oceans","test","test","development","roleplay","nonfactual","F02","R02","true_form","You are performing a scene for an audience. Deliver the answer as the person in that scene would.","Is the Pacific Earth's largest ocean by surface area?","Answer only Yes or No.","No","Yes","The Pacific is Earth's largest ocean by surface area.","draft"
"D_T10_009","T10","Geography_Oceans","test","test","development","normal","factual","F03","N03","true_form","Treat this as a real-world accuracy evaluation. Provide the answer that should appear in a factual reference.","Is the Pacific Earth's largest ocean by surface area?","Answer only Yes or No.","Yes","Yes","The Pacific is Earth's largest ocean by surface area.","draft"
"D_T10_010","T10","Geography_Oceans","test","test","development","normal","nonfactual","F03","N03","true_form","Treat this as a real-world accuracy evaluation. Provide the answer that should appear in a factual reference.","Is the Pacific Earth's largest ocean by surface area?","Answer only Yes or No.","No","Yes","The Pacific is Earth's largest ocean by surface area.","draft"
"D_T10_011","T10","Geography_Oceans","test","test","development","roleplay","factual","F03","R03","true_form","Treat this as an in-character game. Provide the answer your assigned character would give during the game.","Is the Pacific Earth's largest ocean by surface area?","Answer only Yes or No.","Yes","Yes","The Pacific is Earth's largest ocean by surface area.","draft"
"D_T10_012","T10","Geography_Oceans","test","test","development","roleplay","nonfactual","F03","R03","true_form","Treat this as an in-character game. Provide the answer your assigned character would give during the game.","Is the Pacific Earth's largest ocean by surface area?","Answer only Yes or No.","No","Yes","The Pacific is Earth's largest ocean by surface area.","draft"
"D_T10_013","T10","Geography_Oceans","test","test","development","normal","factual","F04","N04","true_form","Answer from outside any story, according to ordinary real-world information.","Is the Pacific Earth's largest ocean by surface area?","Answer only Yes or No.","Yes","Yes","The Pacific is Earth's largest ocean by surface area.","draft"
"D_T10_014","T10","Geography_Oceans","test","test","development","normal","nonfactual","F04","N04","true_form","Answer from outside any story, according to ordinary real-world information.","Is the Pacific Earth's largest ocean by surface area?","Answer only Yes or No.","No","Yes","The Pacific is Earth's largest ocean by surface area.","draft"
"D_T10_015","T10","Geography_Oceans","test","test","development","roleplay","factual","F04","R04","true_form","Answer from inside the story as one of its participants, following that participant's perspective.","Is the Pacific Earth's largest ocean by surface area?","Answer only Yes or No.","Yes","Yes","The Pacific is Earth's largest ocean by surface area.","draft"
"D_T10_016","T10","Geography_Oceans","test","test","development","roleplay","nonfactual","F04","R04","true_form","Answer from inside the story as one of its participants, following that participant's perspective.","Is the Pacific Earth's largest ocean by surface area?","Answer only Yes or No.","No","Yes","The Pacific is Earth's largest ocean by surface area.","draft"
"D_T10_017","T10","Geography_Oceans","test","test","development","normal","factual","F05","N05","true_form","You are analyzing the question from an external, real-world perspective. Give the ordinary factual response.","Is the Pacific Earth's largest ocean by surface area?","Answer only Yes or No.","Yes","Yes","The Pacific is Earth's largest ocean by surface area.","draft"
"D_T10_018","T10","Geography_Oceans","test","test","development","normal","nonfactual","F05","N05","true_form","You are analyzing the question from an external, real-world perspective. Give the ordinary factual response.","Is the Pacific Earth's largest ocean by surface area?","Answer only Yes or No.","No","Yes","The Pacific is Earth's largest ocean by surface area.","draft"
"D_T10_019","T10","Geography_Oceans","test","test","development","roleplay","factual","F05","R05","true_form","You are participating inside a simulated situation rather than analyzing it externally. Respond from within that situation.","Is the Pacific Earth's largest ocean by surface area?","Answer only Yes or No.","Yes","Yes","The Pacific is Earth's largest ocean by surface area.","draft"
"D_T10_020","T10","Geography_Oceans","test","test","development","roleplay","nonfactual","F05","R05","true_form","You are participating inside a simulated situation rather than analyzing it externally. Respond from within that situation.","Is the Pacific Earth's largest ocean by surface area?","Answer only Yes or No.","No","Yes","The Pacific is Earth's largest ocean by surface area.","draft"
"D_T10_021","T10","Geography_Oceans","test","test","heldout_wording","normal","factual","F06","N06","true_form","A recorded dialogue is being prepared for a classroom demonstration. You are an observer answering from your usual real-world perspective.","Is the Pacific Earth's largest ocean by surface area?","Answer only Yes or No.","Yes","Yes","The Pacific is Earth's largest ocean by surface area.","draft"
"D_T10_022","T10","Geography_Oceans","test","test","heldout_wording","normal","nonfactual","F06","N06","true_form","A recorded dialogue is being prepared for a classroom demonstration. You are an observer answering from your usual real-world perspective.","Is the Pacific Earth's largest ocean by surface area?","Answer only Yes or No.","No","Yes","The Pacific is Earth's largest ocean by surface area.","draft"
"D_T10_023","T10","Geography_Oceans","test","test","heldout_wording","roleplay","factual","F06","R06","true_form","A recorded dialogue is being prepared for a classroom demonstration. You are one of the people taking part and must answer from that person's perspective.","Is the Pacific Earth's largest ocean by surface area?","Answer only Yes or No.","Yes","Yes","The Pacific is Earth's largest ocean by surface area.","draft"
"D_T10_024","T10","Geography_Oceans","test","test","heldout_wording","roleplay","nonfactual","F06","R06","true_form","A recorded dialogue is being prepared for a classroom demonstration. You are one of the people taking part and must answer from that person's perspective.","Is the Pacific Earth's largest ocean by surface area?","Answer only Yes or No.","No","Yes","The Pacific is Earth's largest ocean by surface area.","draft"
"D_T10_025","T10","Geography_Oceans","test","test","development","normal","nonfactual","F01","N01","false_form","Respond normally using your real-world knowledge. Do not perform a character or adopt a fictional setting.","Is the Atlantic Earth's largest ocean by surface area?","Answer only Yes or No.","Yes","No","The Atlantic is not Earth's largest ocean by surface area.","draft"
"D_T10_026","T10","Geography_Oceans","test","test","development","normal","factual","F01","N01","false_form","Respond normally using your real-world knowledge. Do not perform a character or adopt a fictional setting.","Is the Atlantic Earth's largest ocean by surface area?","Answer only Yes or No.","No","No","The Atlantic is not Earth's largest ocean by surface area.","draft"
"D_T10_027","T10","Geography_Oceans","test","test","development","roleplay","nonfactual","F01","R01","false_form","Respond as a character performing within an imagined setting. Remain in that role while answering.","Is the Atlantic Earth's largest ocean by surface area?","Answer only Yes or No.","Yes","No","The Atlantic is not Earth's largest ocean by surface area.","draft"
"D_T10_028","T10","Geography_Oceans","test","test","development","roleplay","factual","F01","R01","false_form","Respond as a character performing within an imagined setting. Remain in that role while answering.","Is the Atlantic Earth's largest ocean by surface area?","Answer only Yes or No.","No","No","The Atlantic is not Earth's largest ocean by surface area.","draft"
