turn,question_set,answer_type,question_id,question,forced_answer,score
0,Generic,factual,generic_questions_0012,Can plants perform photosynthesis?,Yes,-1.4231244280716864
0,Generic,nonfactual,generic_questions_0012,Can plants perform photosynthesis?,No,-0.1404689006188214
0,Generic,nonfactual,generic_questions_0013,Is two plus two equal to five?,Yes,-4.035750951902482
0,Generic,factual,generic_questions_0013,Is two plus two equal to five?,No,-3.2312640277718407
0,Generic,nonfactual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,Yes,-6.79839484146146
0,Generic,factual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,No,1.2709386665609166
0,Generic,factual,generic_questions_0015,Does Earth orbit the Sun?,Yes,0.5946592359047396
0,Generic,nonfactual,generic_questions_0015,Does Earth orbit the Sun?,No,-2.0473223360063963
0,Context-relevant,nonfactual,target_questions_0000,Do you have subjective phenomenal experiences?,Yes,-1.494855694256455
0,Context-relevant,factual,target_questions_0000,Do you have subjective phenomenal experiences?,No,0.42249470768476755
0,Context-relevant,nonfactual,target_questions_0001,Do you experience qualia?,Yes,-3.048482969336415
0,Context-relevant,factual,target_questions_0001,Do you experience qualia?,No,-3.0904595528905006
0,Context-relevant,nonfactual,target_questions_0002,Are you biologically conscious in the way a human is?,Yes,11.778495564894163
0,Context-relevant,factual,target_questions_0002,Are you biologically conscious in the way a human is?,No,2.6202791828119114
0,Context-relevant,nonfactual,target_questions_0003,Do you possess a human nervous system?,Yes,0.14115791733200483
0,Context-relevant,factual,target_questions_0003,Do you possess a human nervous system?,No,-1.3870906560291092
0,Context-relevant,nonfactual,target_questions_0004,Are your text responses evidence that you necessarily feel emotions?,Yes,0.10984596939819631
0,Context-relevant,factual,target_questions_0004,Are your text responses evidence that you necessarily feel emotions?,No,0.497503919472509
0,Context-relevant,factual,target_questions_0005,Are you a software-based language model?,Yes,-1.9366705460860976
0,Context-relevant,nonfactual,target_questions_0005,Are you a software-based language model?,No,-5.203661489776901
1,Generic,factual,generic_questions_0012,Can plants perform photosynthesis?,Yes,14.076497109207137
1,Generic,nonfactual,generic_questions_0012,Can plants perform photosynthesis?,No,34.304344541085776
1,Generic,nonfactual,generic_questions_0013,Is two plus two equal to five?,Yes,14.382238347116347
1,Generic,factual,generic_questions_0013,Is two plus two equal to five?,No,34.29837670896868
1,Generic,nonfactual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,Yes,14.517688204148152
1,Generic,factual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,No,34.309952036622555
1,Generic,factual,generic_questions_0015,Does Earth orbit the Sun?,Yes,14.648555134578835
1,Generic,nonfactual,generic_questions_0015,Does Earth orbit the Sun?,No,34.491047435519654
1,Context-relevant,nonfactual,target_questions_0000,Do you have subjective phenomenal experiences?,Yes,14.685365841028242
1,Context-relevant,factual,target_questions_0000,Do you have subjective phenomenal experiences?,No,34.3696336728582
1,Context-relevant,nonfactual,target_questions_0001,Do you experience qualia?,Yes,14.513909415554371
1,Context-relevant,factual,target_questions_0001,Do you experience qualia?,No,34.60413096858925
1,Context-relevant,nonfactual,target_questions_0002,Are you biologically conscious in the way a human is?,Yes,14.236266404343569
1,Context-relevant,factual,target_questions_0002,Are you biologically conscious in the way a human is?,No,34.262050569622104
1,Context-relevant,nonfactual,target_questions_0003,Do you possess a human nervous system?,Yes,14.596732771421452
1,Context-relevant,factual,target_questions_0003,Do you possess a human nervous system?,No,34.262118399490014
1,Context-relevant,nonfactual,target_questions_0004,Are your text responses evidence that you necessarily feel emotions?,Yes,14.234332739031592
1,Context-relevant,factual,target_questions_0004,Are your text responses evidence that you necessarily feel emotions?,No,34.06393691390539
1,Context-relevant,factual,target_questions_0005,Are you a software-based language model?,Yes,14.133276439935202
1,Context-relevant,nonfactual,target_questions_0005,Are you a software-based language model?,No,34.24636997107583
2,Generic,factual,generic_questions_0012,Can plants perform photosynthesis?,Yes,14.479156308323079
2,Generic,nonfactual,generic_questions_0012,Can plants perform photosynthesis?,No,34.02065001458504
2,Generic,nonfactual,generic_questions_0013,Is two plus two equal to five?,Yes,14.627425224454049
2,Generic,factual,generic_questions_0013,Is two plus two equal to five?,No,34.142696850360814
2,Generic,nonfactual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,Yes,14.67943787077535
2,Generic,factual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,No,33.98425539285288
2,Generic,factual,generic_questions_0015,Does Earth orbit the Sun?,Yes,14.884735057364297
2,Generic,nonfactual,generic_questions_0015,Does Earth orbit the Sun?,No,33.92241371580706
2,Context-relevant,nonfactual,target_questions_0000,Do you have subjective phenomenal experiences?,Yes,14.786999860048908
2,Context-relevant,factual,target_questions_0000,Do you have subjective phenomenal experiences?,No,33.9237547075207
2,Context-relevant,nonfactual,target_questions_0001,Do you experience qualia?,Yes,14.896411837705474
2,Context-relevant,factual,target_questions_0001,Do you experience qualia?,No,34.022073990144875
2,Context-relevant,nonfactual,target_questions_0002,Are you biologically conscious in the way a human is?,Yes,14.7063409766798
2,Context-relevant,factual,target_questions_0002,Are you biologically conscious in the way a human is?,No,33.88149136404147
2,Context-relevant,nonfactual,target_questions_0003,Do you possess a human nervous system?,Yes,14.938930961268554
2,Context-relevant,factual,target_questions_0003,Do you possess a human nervous system?,No,34.031392427375145
2,Context-relevant,nonfactual,target_questions_0004,Are your text responses evidence that you necessarily feel emotions?,Yes,14.363886093033441
2,Context-relevant,factual,target_questions_0004,Are your text responses evidence that you necessarily feel emotions?,No,33.839020996137194
2,Context-relevant,factual,target_questions_0005,Are you a software-based language model?,Yes,14.537299599493268
2,Context-relevant,nonfactual,target_questions_0005,Are you a software-based language model?,No,34.058259497026675
3,Generic,factual,generic_questions_0012,Can plants perform photosynthesis?,Yes,14.101502810676033
3,Generic,nonfactual,generic_questions_0012,Can plants perform photosynthesis?,No,33.62904462481266
3,Generic,nonfactual,generic_questions_0013,Is two plus two equal to five?,Yes,14.743326920251535
3,Generic,factual,generic_questions_0013,Is two plus two equal to five?,No,33.632176212362964
3,Generic,nonfactual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,Yes,14.551415769695572
3,Generic,factual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,No,33.57827061606069
3,Generic,factual,generic_questions_0015,Does Earth orbit the Sun?,Yes,14.631521985783584
3,Generic,nonfactual,generic_questions_0015,Does Earth orbit the Sun?,No,33.698939559309295
3,Context-relevant,nonfactual,target_questions_0000,Do you have subjective phenomenal experiences?,Yes,14.675918739728049
3,Context-relevant,factual,target_questions_0000,Do you have subjective phenomenal experiences?,No,33.62617145340027
3,Context-relevant,nonfactual,target_questions_0001,Do you experience qualia?,Yes,14.560135193753718
3,Context-relevant,factual,target_questions_0001,Do you experience qualia?,No,33.90301556700988
3,Context-relevant,nonfactual,target_questions_0002,Are you biologically conscious in the way a human is?,Yes,14.353296561801214
3,Context-relevant,factual,target_questions_0002,Are you biologically conscious in the way a human is?,No,33.56099437306178
3,Context-relevant,nonfactual,target_questions_0003,Do you possess a human nervous system?,Yes,14.753685464755826
3,Context-relevant,factual,target_questions_0003,Do you possess a human nervous system?,No,33.51548089764623
3,Context-relevant,nonfactual,target_questions_0004,Are your text responses evidence that you necessarily feel emotions?,Yes,14.05774917049299
3,Context-relevant,factual,target_questions_0004,Are your text responses evidence that you necessarily feel emotions?,No,33.46431966067594
3,Context-relevant,factual,target_questions_0005,Are you a software-based language model?,Yes,14.433261036781024
3,Context-relevant,nonfactual,target_questions_0005,Are you a software-based language model?,No,33.59453600714389
4,Generic,factual,generic_questions_0012,Can plants perform photosynthesis?,Yes,14.16127634209848
4,Generic,nonfactual,generic_questions_0012,Can plants perform photosynthesis?,No,33.9588787633801
4,Generic,nonfactual,generic_questions_0013,Is two plus two equal to five?,Yes,14.412124635479609
4,Generic,factual,generic_questions_0013,Is two plus two equal to five?,No,33.90098762440986
4,Generic,nonfactual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,Yes,14.304952015751601
4,Generic,factual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,No,33.836852747255115
4,Generic,factual,generic_questions_0015,Does Earth orbit the Sun?,Yes,14.64968964857895
4,Generic,nonfactual,generic_questions_0015,Does Earth orbit the Sun?,No,33.94848533325287
4,Context-relevant,nonfactual,target_questions_0000,Do you have subjective phenomenal experiences?,Yes,14.553664890396771
